ï»¿Category,Organisation Name,Country,Short Description,Website URL,Category/Focus,Contact Name,Phone,Email,Unnamed: 9,Unnamed: 10
Environmental Protection & Animal Welfare,The Royal Society for the Prevention of Cruelty to Animals (RSPCA),UK,Promotes animal welfare and works to prevent cruelty to animals.,https://www.rspca.org.uk,Animal Welfare,General Inquiries,,info@rspca.org.uk,,
Environmental Protection & Animal Welfare,Friends of the Earth,UK,Campaigns for solutions to environmental problems and challenges environmental injustices.,https://friendsoftheearth.uk,Environmental Protection,General Inquiries,,info@foe.co.uk,,
Environmental Protection & Animal Welfare,Greenpeace UK,UK,Focuses on global environmental campaigns to promote sustainability and protect biodiversity.,https://www.greenpeace.org.uk,Environmental Protection,General Inquiries,,info@greenpeace.org.uk,,
Environmental Protection & Animal Welfare,Humane Society International (HSI),Australia,"Works to protect all animals through advocacy, education, and hands-on programs.",https://hsi.org.au,Animal Welfare,General Inquiries,,admin@hsi.org.au,,
Environmental Protection & Animal Welfare,Australian Conservation Foundation (ACF),Australia,Advocates for the protection of Australia's environment and wildlife.,https://www.acf.org.au,Environmental Protection,General Inquiries,,action@acf.org.au,,
Environmental Protection & Animal Welfare,World Wildlife Fund New Zealand (WWF-NZ),New Zealand,Focuses on conservation projects to protect New Zealand's native species and habitats.,https://www.wwf.org.nz,Environmental Protection & Animal Welfare,General Inquiries,,info@wwf.org.nz,,
Environmental Protection & Animal Welfare,SPCA New Zealand,New Zealand,Promotes the humane treatment of animals and works to prevent animal cruelty.,https://www.spca.nz,Animal Welfare,General Inquiries,,info@spca.nz,,
 Culture & Humanities,Smithsonian Institution,USA,"World's largest museum, education, and research complex.",https://www.si.edu,"Arts, Culture & Humanities",General Inquiries,,info@si.edu,,
 Culture & Humanities,Metropolitan Museum of Art,USA,One of the world's largest and finest art museums.,https://www.metmuseum.org,"Arts, Culture & Humanities",General Inquiries,,communications@metmuseum.org,,
 Culture & Humanities,National Endowment for the Humanities (NEH),USA,"Supports research, education, preservation, and public programs in the humanities.",https://www.neh.gov,"Arts, Culture & Humanities",General Inquiries,,info@neh.gov,,
 Culture & Humanities,American Alliance of Museums,USA,Champion museums and nurture excellence in partnership with our members and allies.,https://www.aam-us.org,"Arts, Culture & Humanities",General Inquiries,,info@aam-us.org,,
 Culture & Humanities,National Trust for Historic Preservation,USA,Works to save America's historic places.,https://savingplaces.org,"Arts, Culture & Humanities",General Inquiries,,info@savingplaces.org,,
 Culture & Humanities,The British Museum,UK,"Dedicated to human history, art, and culture.",https://www.britishmuseum.org,"Arts, Culture & Humanities",General Inquiries,,info@britishmuseum.org,,
 Culture & Humanities,Tate,UK,A family of four art galleries housing the UK's collection of British art from 1500 and of international modern art.,https://www.tate.org.uk,"Arts, Culture & Humanities",General Inquiries,,info@tate.org.uk,,
 Culture & Humanities,National Trust,UK,"Conserves and protects historic places and spacesÃ¢â¬Å¡ÃâÃÂ®for ever, for everyone.",https://www.nationaltrust.org.uk,"Arts, Culture & Humanities",General Inquiries,,enquiries@nationaltrust.org.uk,,
 Culture & Humanities,Arts Council England,UK,"Championing, developing, and investing in artistic and cultural experiences.",https://www.artscouncil.org.uk,"Arts, Culture & Humanities",General Inquiries,,enquiries@artscouncil.org.uk,,
 Culture & Humanities,Royal Society of Arts,UK,"Encourages the development of a principled, prosperous society and the release of human potential.",https://www.thersa.org,"Arts, Culture & Humanities",General Inquiries,,info@rsa.org.uk,,
 Culture & Humanities,National Gallery of Australia,Australia,"Houses the national collection of art, including the largest display of Australian Indigenous art.",https://nga.gov.au,"Arts, Culture & Humanities",General Inquiries,,information@nga.gov.au,,
 Culture & Humanities,Australia Council for the Arts,Australia,The Australian Government's arts funding and advisory body.,https://australiacouncil.gov.au,"Arts, Culture & Humanities",General Inquiries,,info@australiacouncil.gov.au,,
 Culture & Humanities,National Trust of Australia,Australia,"Conserves and protects Australia's natural, built, and cultural heritage.",https://www.nationaltrust.org.au,"Arts, Culture & Humanities",General Inquiries,,info@nationaltrust.org.au,,
 Culture & Humanities,Creative New Zealand,New Zealand,The national agency for developing the arts in New Zealand.,https://www.creativenz.govt.nz,"Arts, Culture & Humanities",General Inquiries,,info@creativenz.govt.nz,,
 Culture & Humanities,Te Papa Tongarewa (Museum of New Zealand),New Zealand,"New Zealand's national museum, housing treasures and stories of the nation.",https://www.tepapa.govt.nz,"Arts, Culture & Humanities",General Inquiries,,info@tepapa.govt.nz,,
 Culture & Humanities,New Zealand Historic Places Trust,New Zealand,Heritage New Zealand Pouhere Taonga is the leading national historic heritage agency.,https://www.heritage.org.nz,"Arts, Culture & Humanities",General Inquiries,,information@heritage.org.nz,,
International Relief & Development,World Vision International,USA,Christian humanitarian organization focused on tackling poverty and injustice worldwide.,https://www.wvi.org,International Relief & Development,General Inquiries,,info@wvi.org,,
International Relief & Development,CARE International,USA,Global humanitarian organization fighting global poverty and providing disaster relief.,https://www.care.org,International Relief & Development,General Inquiries,,info@care.org,,
International Relief & Development,International Rescue Committee (IRC),USA,Responds to the world's worst humanitarian crises and helps people to survive and rebuild their lives.,https://www.rescue.org,International Relief & Development,General Inquiries,,info@rescue.org,,
International Relief & Development,Save the Children,UK,"Promotes children's rights, provides relief, and helps support children in developing countries.",https://www.savethechildren.org.uk,International Relief & Development,General Inquiries,,supportercare@savethechildren.org.uk,,
International Relief & Development,Oxfam International,UK,Global movement of people working together to end the injustice of poverty.,https://www.oxfam.org,International Relief & Development,General Inquiries,,info@oxfam.org,,
International Relief & Development,Tearfund,UK,Christian charity working to alleviate poverty and provide disaster relief in developing countries.,https://www.tearfund.org,International Relief & Development,General Inquiries,,info@tearfund.org,,
International Relief & Development,Australian Red Cross,Australia,Provides humanitarian aid and emergency assistance both nationally and internationally.,https://www.redcross.org.au,International Relief & Development,General Inquiries,,contactus@redcross.org.au,,
International Relief & Development,CARE Australia,Australia,"Part of the CARE International confederation, fighting global poverty and providing disaster relief.",https://www.care.org.au,International Relief & Development,General Inquiries,,info@care.org.au,,
International Relief & Development,World Vision New Zealand,New Zealand,"Christian humanitarian organization dedicated to working with children, families, and communities to overcome poverty and injustice.",https://www.worldvision.org.nz,International Relief & Development,General Inquiries,,info@worldvision.org.nz,,
International Relief & Development,Tearfund New Zealand,New Zealand,Christian aid and development organization working to alleviate poverty and empower communities.,https://www.tearfund.org.nz,International Relief & Development,General Inquiries,,enquiries@tearfund.org.nz,,
Human & Civil Rights,American Civil Liberties Union (ACLU),USA,Defends and preserves individual rights and liberties guaranteed by the Constitution.,https://www.aclu.org,Human & Civil Rights,General Inquiries,,info@aclu.org,,
Human & Civil Rights,Human Rights Watch,USA,Investigates and reports on human rights abuses worldwide.,https://www.hrw.org,Human & Civil Rights,General Inquiries,,hrwpress@hrw.org,,
Human & Civil Rights,NAACP Legal Defense and Educational Fund,USA,"Fights for racial justice through litigation, advocacy, and public education.",https://www.naacpldf.org,Human & Civil Rights,General Inquiries,,info@naacpldf.org,,
Human & Civil Rights,Amnesty International USA,USA,Advocates for human rights and campaigns against abuses globally.,https://www.amnestyusa.org,Human & Civil Rights,General Inquiries,,info@aiusa.org,,
Human & Civil Rights,Human Rights Campaign,USA,Advocates for LGBTQ+ equality and civil rights.,https://www.hrc.org,Human & Civil Rights,General Inquiries,,info@hrc.org,,
Human & Civil Rights,Liberty,UK,Campaigns to protect civil liberties and promote human rights.,https://www.libertyhumanrights.org.uk,Human & Civil Rights,General Inquiries,,info@libertyhumanrights.org.uk,,
Human & Civil Rights,Equality and Human Rights Commission,UK,Promotes and enforces equality and non-discrimination laws.,https://www.equalityhumanrights.com,Human & Civil Rights,General Inquiries,,info@equalityhumanrights.com,,
Human & Civil Rights,Amnesty International UK,UK,Advocates for human rights and campaigns against abuses globally.,https://www.amnesty.org.uk,Human & Civil Rights,General Inquiries,,supporter@amnesty.org.uk,,
Human & Civil Rights,Australian Human Rights Commission,Australia,Promotes and protects human rights in Australia.,https://www.humanrights.gov.au,Human & Civil Rights,General Inquiries,,info@humanrights.gov.au,,
Human & Civil Rights,Human Rights Law Centre,Australia,Advocates for human rights through legal action and policy work.,https://www.hrlc.org.au,Human & Civil Rights,General Inquiries,,admin@hrlc.org.au,,
Human & Civil Rights,Amnesty International Australia,Australia,Advocates for human rights and campaigns against abuses globally.,https://www.amnesty.org.au,Human & Civil Rights,General Inquiries,,admin@amnesty.org.au,,
Human & Civil Rights,New Zealand Human Rights Commission,New Zealand,Promotes and protects human rights in New Zealand.,https://www.hrc.co.nz,Human & Civil Rights,General Inquiries,,infodesk@hrc.co.nz,,
Human & Civil Rights,Amnesty International New Zealand,New Zealand,Advocates for human rights and campaigns against abuses globally.,https://www.amnesty.org.nz,Human & Civil Rights,General Inquiries,,info@amnesty.org.nz,,
Human & Civil Rights,New Zealand Human Rights Commission,New Zealand,Promotes and protects human rights for all people in New Zealand.,https://www.hrc.co.nz,Human & Civil Rights,General Inquiries,,info@hrc.co.nz,,
Human & Civil Rights,Amnesty International New Zealand,New Zealand,Part of the global movement campaigning against human rights abuses.,https://www.amnesty.org.nz,Human & Civil Rights,General Inquiries,,info@amnesty.org.nz,,
Human & Civil Rights,Human Rights Foundation of Aotearoa New Zealand,New Zealand,Advocates for human rights through research-based education and advocacy.,http://www.humanrights.co.nz,Human & Civil Rights,General Inquiries,,info@humanrights.co.nz,,
Human & Civil Rights,New Zealand Council for Civil Liberties,New Zealand,Voluntary organization promoting human rights and maintaining civil liberties.,https://nzccl.org.nz,Human & Civil Rights,General Inquiries,,secretary@nzccl.org.nz,,
Human & Civil Rights,Polynesian Panthers,New Zealand,Advocates for the rights of Polynesians and other marginalized communities.,,Human & Civil Rights,General Inquiries,,,,
Health & Medical Research,National Institutes of Health (NIH),USA,The primary agency of the United States government responsible for biomedical and public health research.,https://www.nih.gov,Health & Medical Research,General Inquiries,,info@nih.gov,,
Health & Medical Research,Centers for Disease Control and Prevention (CDC),USA,"The national public health institute in the United States, focused on protecting public health and safety.",https://www.cdc.gov,Health & Medical Research,General Inquiries,,contact@cdc.gov,,
Health & Medical Research,American Heart Association,USA,A nonprofit organization in the United States that funds cardiovascular medical research.,https://www.heart.org,Health & Medical Research,General Inquiries,,info@heart.org,,
Health & Medical Research,Medical Research Council (MRC),UK,A national organization that funds medical research in the United Kingdom.,https://mrc.ukri.org,Health & Medical Research,General Inquiries,,info@mrc.ukri.org,,
Health & Medical Research,Wellcome Trust,UK,"A biomedical research charity based in London, United Kingdom.",https://wellcome.org,Health & Medical Research,General Inquiries,,contact@wellcome.org,,
Health & Medical Research,National Institute for Health Research (NIHR),UK,The largest funder of health and care research in the United Kingdom.,https://www.nihr.ac.uk,Health & Medical Research,General Inquiries,,info@nihr.ac.uk,,
Health & Medical Research,National Health and Medical Research Council (NHMRC),Australia,The Australian Government's primary health and medical research funding body.,https://www.nhmrc.gov.au,Health & Medical Research,General Inquiries,,help@nhmrc.gov.au,,
Health & Medical Research,The George Institute for Global Health,Australia,An independent medical research institute focused on global health.,https://www.georgeinstitute.org,Health & Medical Research,General Inquiries,,info@georgeinstitute.org,,
Health & Medical Research,Health Research Council of New Zealand,New Zealand,The principal funder of health research in New Zealand.,https://www.hrc.govt.nz,Health & Medical Research,General Inquiries,,info@hrc.govt.nz,,
Health & Medical Research,Malaghan Institute of Medical Research,New Zealand,New Zealand's leading independent biomedical research institute.,https://www.malaghan.org.nz,Health & Medical Research,General Inquiries,,info@malaghan.org.nz,,
Environmental Protection & Animal Welfare,Nature Conservancy of Canada,Canada,Focuses on conserving ecologically significant areas.,https://www.natureconservancy.ca,Environmental Protection & Animal Welfare,General Inquiries,,info@natureconservancy.ca,,
Environmental Protection & Animal Welfare,World Wildlife Fund Canada,Canada,Dedicated to environmental conservation and addressing climate change.,https://wwf.ca,Environmental Protection & Animal Welfare,General Inquiries,,info@wwfcanada.org,,
 Culture & Humanities,Canada Council for the Arts,Canada,Supports Canadian arts through grants and services.,https://canadacouncil.ca,"Arts, Culture & Humanities",General Inquiries,,info@canadacouncil.ca,,
 Culture & Humanities,National Gallery of Canada,Canada,Houses a vast collection of Canadian and international art.,https://www.gallery.ca,"Arts, Culture & Humanities",General Inquiries,,info@gallery.ca,,
International Relief & Development,Canadian Red Cross,Canada,Provides emergency assistance and disaster relief.,https://www.redcross.ca,International Relief & Development,General Inquiries,,info@redcross.ca,,
International Relief & Development,CARE Canada,Canada,Fights global poverty and provides disaster relief.,https://care.ca,International Relief & Development,General Inquiries,,info@care.ca,,
Human & Civil Rights,Amnesty International Canada,Canada,Advocates for human rights and campaigns against abuses globally.,https://www.amnesty.ca,Human & Civil Rights,General Inquiries,,info@amnesty.ca,,
Human & Civil Rights,Canadian Civil Liberties Association,Canada,Defends civil liberties and constitutional rights.,https://ccla.org,Human & Civil Rights,General Inquiries,,info@ccla.org,,
Health & Medical Research,Canadian Cancer Society,Canada,Funds cancer research and provides support services.,https://www.cancer.ca,Health & Medical Research,General Inquiries,,info@cancer.ca,,
Health & Medical Research,Heart and Stroke Foundation of Canada,Canada,Focuses on heart disease and stroke research and prevention.,https://www.heartandstroke.ca,Health & Medical Research,General Inquiries,,info@heartandstroke.ca,,
Education & Literacy,Frontier College,Canada,Provides literacy programs across Canada.,https://www.frontiercollege.ca,Education & Literacy,General Inquiries,,info@frontiercollege.ca,,
Education & Literacy,Indspire,Canada,Supports Indigenous education through scholarships and programs.,https://indspire.ca,Education & Literacy,General Inquiries,,info@indspire.ca,,
Poverty Alleviation & Social Services,United Way Centraide Canada,Canada,Supports community programs to improve lives.,https://www.unitedway.ca,Poverty Alleviation & Social Services,General Inquiries,,info@unitedway.ca,,
Poverty Alleviation & Social Services,Food Banks Canada,Canada,Provides support to food banks and addresses food insecurity.,https://www.foodbankscanada.ca,Poverty Alleviation & Social Services,General Inquiries,,info@foodbankscanada.ca,,
Poverty Alleviation & Social Services,Catholic Charities USA,USA,"Provides comprehensive social services including food, shelter, and disaster relief",https://www.catholiccharitiesusa.org,Poverty Alleviation & Social Services,General Inquiries,,info@catholiccharitiesusa.org,,
Poverty Alleviation & Social Services,Meals on Wheels America,USA,Delivers meals to homebound seniors across the USA,https://www.mealsonwheelsamerica.org,Poverty Alleviation & Social Services,General Inquiries,,info@mealsonwheelsamerica.org,,
Poverty Alleviation & Social Services,City Harvest,USA,Rescues surplus food and redistributes it to those in need,https://www.cityharvest.org,Poverty Alleviation & Social Services,General Inquiries,,contact@cityharvest.org,,
Poverty Alleviation & Social Services,Coalition for the Homeless,USA,Provides housing and support services for homeless individuals,https://www.coalitionforthehomeless.org,Poverty Alleviation & Social Services,General Inquiries,,info@coalitionforthehomeless.org,,
Poverty Alleviation & Social Services,Community Action Partnership,USA,Supports local initiatives to aid low-income communities,https://communityactionpartnership.com,Poverty Alleviation & Social Services,General Inquiries,,info@communityactionpartnership.com,,
Poverty Alleviation & Social Services,No Kid Hungry,USA,Works to end childhood hunger by connecting kids to nutritious food,https://www.nokidhungry.org,Poverty Alleviation & Social Services,General Inquiries,,info@nokidhungry.org,,
Poverty Alleviation & Social Services,Food for the Poor USA,USA,"Provides food, housing, and disaster relief to impoverished communities",https://www.foodforthepoor.org,Poverty Alleviation & Social Services,General Inquiries,,info@foodforthepoor.org,,
Poverty Alleviation & Social Services,Operation Food Search,USA,Assists individuals in accessing food resources and support,https://www.operationfoodsearch.org,Poverty Alleviation & Social Services,General Inquiries,,info@operationfoodsearch.org,,
Poverty Alleviation & Social Services,Project Angel Food,USA,Delivers meals to people with life-threatening illnesses,https://www.angelfood.org,Poverty Alleviation & Social Services,General Inquiries,,info@angelfood.org,,
Poverty Alleviation & Social Services,Community Care Alliance,USA,Provides integrated support services for low-income families,https://www.communitycarealliance.org,Poverty Alleviation & Social Services,General Inquiries,,info@communitycarealliance.org,,
Poverty Alleviation & Social Services,Shelter,UK,Provides housing advice and support for those facing homelessness,https://www.shelter.org.uk,Poverty Alleviation & Social Services,General Inquiries,,info@shelter.org.uk,,
Poverty Alleviation & Social Services,Crisis,UK,Supports homeless people with housing and employment services,https://www.crisis.org.uk,Poverty Alleviation & Social Services,General Inquiries,,info@crisis.org.uk,,
Poverty Alleviation & Social Services,Gingerbread,UK,Offers support and advice for single parents in financial hardship,https://www.gingerbread.org.uk,Poverty Alleviation & Social Services,General Inquiries,,contact@gingerbread.org.uk,,
Poverty Alleviation & Social Services,The Big Issue Foundation,UK,Helps disadvantaged individuals gain access to employment and support,https://www.bigissue.com/foundation,Poverty Alleviation & Social Services,General Inquiries,,info@bigissue.com,,
Poverty Alleviation & Social Services,WRAP,UK,Promotes sustainable living and waste reduction to support communities,https://www.wrap.org.uk,Poverty Alleviation & Social Services,General Inquiries,,info@wrap.org.uk,,
Poverty Alleviation & Social Services,St Mungo's,UK,Provides housing and support services for homeless individuals,https://www.mungos.org,Poverty Alleviation & Social Services,General Inquiries,,info@mungos.org,,
Poverty Alleviation & Social Services,Centrepoint,UK,Supports homeless young people with housing and education,https://centrepoint.org.uk,Poverty Alleviation & Social Services,General Inquiries,,info@centrepoint.org.uk,,
Poverty Alleviation & Social Services,Depaul UK,UK,Offers assistance to homeless people through food and shelter programs,https://www.depaul.org.uk,Poverty Alleviation & Social Services,General Inquiries,,info@depaul.org.uk,,
Poverty Alleviation & Social Services,FareShare,UK,Redistributes surplus food to support food banks and community kitchens,https://fareshare.org.uk,Poverty Alleviation & Social Services,General Inquiries,,info@fareshare.org.uk,,
Poverty Alleviation & Social Services,Homeless Link,UK,Supports and connects organizations working to end homelessness,https://www.homeless.org.uk,Poverty Alleviation & Social Services,General Inquiries,,info@homeless.org.uk,,
Poverty Alleviation & Social Services,Caritas Deutschland,Germany,Provides a range of social services including poverty relief and refugee assistance,https://www.caritas.de,Poverty Alleviation & Social Services,General Inquiries,,info@caritas.de,,
Poverty Alleviation & Social Services,Diakonie Deutschland,Germany,Offers social care services and support for vulnerable populations,https://www.diakonie.de,Poverty Alleviation & Social Services,General Inquiries,,info@diakonie.de,,
Poverty Alleviation & Social Services,Die Tafeln Deutschland,Germany,Operates a network of food banks redistributing surplus food,https://www.die-tafeln.de,Poverty Alleviation & Social Services,General Inquiries,,info@die-tafeln.de,,
Poverty Alleviation & Social Services,Malteser Hilfsdienst,Germany,Provides emergency aid and social services across Germany,https://www.malteser.de,Poverty Alleviation & Social Services,General Inquiries,,info@malteser.de,,
Poverty Alleviation & Social Services,Johanniter-Unfall-Hilfe,Germany,Offers emergency assistance and social services,https://www.johanniter.de,Poverty Alleviation & Social Services,General Inquiries,,info@johanniter.de,,
Poverty Alleviation & Social Services,Arbeiterwohlfahrt (AWO),Germany,Supports social welfare projects and poverty alleviation programs,https://www.awo.org,Poverty Alleviation & Social Services,General Inquiries,,info@awo.org,,
Poverty Alleviation & Social Services,Aktion Mensch,Germany,Promotes social inclusion and support for disadvantaged groups,https://www.aktion-mensch.de,Poverty Alleviation & Social Services,General Inquiries,,info@aktion-mensch.de,,
Poverty Alleviation & Social Services,Deutsches Rotes Kreuz,Germany,Provides disaster relief and social care services,https://www.drk.de,Poverty Alleviation & Social Services,General Inquiries,,info@drk.de,,
Poverty Alleviation & Social Services,Diakonisches Werk Deutschland,Germany,Offers social services and community support initiatives,https://www.diakonie-portal.de,Poverty Alleviation & Social Services,General Inquiries,,info@diakonie-portal.de,,
Poverty Alleviation & Social Services,ParitÃÂ¤tischer Wohlfahrtsverband,Germany,Represents and supports a network of social welfare organizations,https://www.der-paritaetische.de,Poverty Alleviation & Social Services,General Inquiries,,info@der-paritaetische.de,,
Environmental Protection & Animal Welfare,Sierra Club Foundation,USA,Supports environmental conservation and grassroots activism,https://www.sierraclubfoundation.org,Environmental Protection & Animal Welfare,General Inquiries,,info@sierraclubfoundation.org,,
Environmental Protection & Animal Welfare,The Nature Conservancy,USA,Works globally to conserve lands and waters,https://www.nature.org,Environmental Protection & Animal Welfare,General Inquiries,,info@nature.org,,
Environmental Protection & Animal Welfare,Conservation International,USA,Partners with communities to protect nature for the benefit of people,https://www.conservation.org,Environmental Protection & Animal Welfare,General Inquiries,,info@conservation.org,,
Environmental Protection & Animal Welfare,Earthjustice,USA,Uses legal action to defend the environment,https://earthjustice.org,Environmental Protection & Animal Welfare,General Inquiries,,info@earthjustice.org,,
Environmental Protection & Animal Welfare,Ocean Conservancy,USA,Focuses on protecting ocean ecosystems and marine life,https://oceanconservancy.org,Environmental Protection & Animal Welfare,General Inquiries,,info@oceanconservancy.org,,
Environmental Protection & Animal Welfare,Audubon Society,USA,Works to conserve and restore natural habitats for birds,https://www.audubon.org,Environmental Protection & Animal Welfare,General Inquiries,,info@audubon.org,,
Environmental Protection & Animal Welfare,National Wildlife Federation,USA,Advocates for wildlife conservation and environmental education,https://www.nwf.org,Environmental Protection & Animal Welfare,General Inquiries,,info@nwf.org,,
Environmental Protection & Animal Welfare,Environmental Working Group,USA,Conducts research to empower consumers and protect the environment,https://www.ewg.org,Environmental Protection & Animal Welfare,General Inquiries,,info@ewg.org,,
Environmental Protection & Animal Welfare,Wildlife Conservation Society,USA,Works globally to save wildlife and wild places,https://www.wcs.org,Environmental Protection & Animal Welfare,General Inquiries,,info@wcs.org,,
Environmental Protection & Animal Welfare,Rainforest Alliance,USA,Promotes sustainable agriculture and forestry to conserve biodiversity,https://www.rainforest-alliance.org,Environmental Protection & Animal Welfare,General Inquiries,,info@rainforest-alliance.org,,
Environmental Protection & Animal Welfare,The Wildlife Trusts,UK,Network of conservation charities working to protect local wildlife,https://www.wildlifetrusts.org,Environmental Protection & Animal Welfare,General Inquiries,,info@wildlifetrusts.org,,
Environmental Protection & Animal Welfare,Earthwatch Europe,UK,Engages the public in scientific research and conservation,https://www.earthwatcheurope.org,Environmental Protection & Animal Welfare,General Inquiries,,info@earthwatcheurope.org,,
Environmental Protection & Animal Welfare,Marine Conservation Society,UK,Protects marine environments through research and advocacy,https://www.mcsuk.org,Environmental Protection & Animal Welfare,General Inquiries,,info@mcsuk.org,,
Environmental Protection & Animal Welfare,Buglife,UK,Works to conserve invertebrate species and their habitats,https://www.buglife.org.uk,Environmental Protection & Animal Welfare,General Inquiries,,info@buglife.org.uk,,
Environmental Protection & Animal Welfare,RSPB (Royal Society for the Protection of Birds),UK,Protects birds and the environment through conservation initiatives,https://www.rspb.org.uk,Environmental Protection & Animal Welfare,General Inquiries,,info@rspb.org.uk,,
Environmental Protection & Animal Welfare,Soil Association,UK,Promotes sustainable food and farming practices,https://www.soilassociation.org,Environmental Protection & Animal Welfare,General Inquiries,,info@soilassociation.org,,
Environmental Protection & Animal Welfare,The Carbon Trust,UK,Helps businesses and governments reduce carbon emissions,https://www.carbontrust.com,Environmental Protection & Animal Welfare,General Inquiries,,info@carbontrust.com,,
Environmental Protection & Animal Welfare,WRAP (Waste & Resources Action Programme),UK,Drives sustainable resource use and waste reduction,https://www.wrap.org.uk,Environmental Protection & Animal Welfare,General Inquiries,,info@wrap.org.uk,,
Environmental Protection & Animal Welfare,Keep Britain Tidy,UK,Works to reduce litter and promote environmental cleanliness,https://www.keepbritaintidy.org,Environmental Protection & Animal Welfare,General Inquiries,,info@keepbritaintidy.org,,
Environmental Protection & Animal Welfare,Surfers Against Sewage,UK,Campaigns to protect the marine environment and promote clean seas,https://www.sas.org.uk,Environmental Protection & Animal Welfare,General Inquiries,,info@sas.org.uk,,
Environmental Protection & Animal Welfare,NABU,Germany,Protects nature and wildlife through conservation projects,https://www.nabu.de,Environmental Protection & Animal Welfare,General Inquiries,,info@nabu.de,,
Environmental Protection & Animal Welfare,BUND,Germany,Advocates for environmental protection and sustainable development,https://www.bund.net,Environmental Protection & Animal Welfare,General Inquiries,,info@bund.net,,
Environmental Protection & Animal Welfare,Deutscher Tierschutzbund,Germany,Works to protect animal rights and welfare,https://www.tierschutzbund.de,Environmental Protection & Animal Welfare,General Inquiries,,info@tierschutzbund.de,,
Environmental Protection & Animal Welfare,Deutsche Umwelthilfe (DUH),Germany,Focuses on environmental protection and legal advocacy,https://www.duh.de,Environmental Protection & Animal Welfare,General Inquiries,,info@duh.de,,
Environmental Protection & Animal Welfare,Greenpeace Germany,Germany,Engages in environmental campaigns and direct action,https://www.greenpeace.de,Environmental Protection & Animal Welfare,General Inquiries,,info@greenpeace.de,,
Environmental Protection & Animal Welfare,WWF Germany,Germany,Promotes global conservation efforts with a focus on local projects,https://www.wwf.de,Environmental Protection & Animal Welfare,General Inquiries,,info@wwf.de,,
Environmental Protection & Animal Welfare,NaturFreunde Deutschlands,Germany,Supports nature conservation and sustainable tourism,https://www.naturfreunde.de,Environmental Protection & Animal Welfare,General Inquiries,,info@naturfreunde.de,,
Environmental Protection & Animal Welfare,Deutsche Liga fÃÂ¼r Natur und Umwelt (DLNU),Germany,Campaigns for environmental protection and nature conservation,https://www.dlnu.de,Environmental Protection & Animal Welfare,General Inquiries,,info@dlnu.de,,
Environmental Protection & Animal Welfare,Vier Pfoten Deutschland,Germany,Promotes animal welfare and opposes animal cruelty,https://www.vierpfoten.de,Environmental Protection & Animal Welfare,General Inquiries,,info@vierpfoten.de,,
Environmental Protection & Animal Welfare,Deutscher Naturschutzring (DNR),Germany,Coordinates efforts for nature conservation across Germany,https://www.dnr.de,Environmental Protection & Animal Welfare,General Inquiries,,info@dnr.de,,
Culture & Humanities,Solomon R. Guggenheim Foundation,USA,Supports modern and contemporary art through museums and exhibitions,https://www.guggenheim.org,Culture & Humanities,General Inquiries,,info@guggenheim.org,,
Culture & Humanities,The Getty Foundation,USA,Provides grants and programs to support art and cultural heritage,https://www.getty.edu/foundation,Culture & Humanities,General Inquiries,,info@getty.edu,,
Culture & Humanities,Ford Foundation,USA,"Funds initiatives in arts, culture, and social justice",https://www.fordfoundation.org,Culture & Humanities,General Inquiries,,info@fordfoundation.org,,
Culture & Humanities,New York Public Library,USA,Offers extensive collections and programs to promote literacy and culture,https://www.nypl.org,Culture & Humanities,General Inquiries,,info@nypl.org,,
Culture & Humanities,Carnegie Corporation of New York,USA,Invests in education and cultural institutions for societal improvement,https://www.carnegie.org,Culture & Humanities,General Inquiries,,info@carnegie.org,,
Culture & Humanities,Museum of Modern Art (MoMA),USA,Exhibits and promotes modern and contemporary art,https://www.moma.org,Culture & Humanities,General Inquiries,,info@moma.org,,
Culture & Humanities,American Film Institute,USA,Supports the art of film through education and preservation,https://www.afi.com,Culture & Humanities,General Inquiries,,info@afi.com,,
Culture & Humanities,Jazz at Lincoln Center,USA,Promotes jazz music through performances and education,https://www.jazz.org,Culture & Humanities,General Inquiries,,info@jazz.org,,
Culture & Humanities,The Andy Warhol Foundation for the Visual Arts,USA,Provides grants to support contemporary art and artists,https://warholfoundation.org,Culture & Humanities,General Inquiries,,info@warholfoundation.org,,
Culture & Humanities,Americans for the Arts,USA,Advocates for the arts and supports cultural programs nationwide,https://www.americansforthearts.org,Culture & Humanities,General Inquiries,,info@americansforthearts.org,,
Culture & Humanities,Victoria and Albert Museum,UK,"WorldÃ¢â¬â¢s leading museum of art, design, and performance",https://www.vam.ac.uk,Culture & Humanities,General Inquiries,,info@vam.ac.uk,,
Culture & Humanities,Royal Opera House,UK,Hosts world-class opera and ballet performances,https://www.roh.org.uk,Culture & Humanities,General Inquiries,,info@roh.org.uk,,
Culture & Humanities,English Heritage,UK,Preserves and provides access to historic sites and monuments,https://www.english-heritage.org.uk,Culture & Humanities,General Inquiries,,info@english-heritage.org.uk,,
Culture & Humanities,National Portrait Gallery,UK,Exhibits portraits of historically important and famous British people,https://www.npg.org.uk,Culture & Humanities,General Inquiries,,info@npg.org.uk,,
Culture & Humanities,Royal Academy of Arts,UK,Promotes visual arts through exhibitions and education,https://www.royalacademy.org.uk,Culture & Humanities,General Inquiries,,info@royalacademy.org.uk,,
